┌────────────┬───────────────┬────────────┐
│ price_band │ total_revenue │ units_sold │
│   double   │    double     │   int128   │
├────────────┼───────────────┼────────────┤
│       10.0 │    1001554.07 │      69961 │
│       20.0 │      627276.6 │      25645 │
│       30.0 │     542688.72 │      15845 │
│      140.0 │     490503.67 │       3398 │
│       40.0 │     484267.82 │      10727 │
│       50.0 │     419697.71 │       7638 │
│       60.0 │     357005.19 │       5597 │
│        0.0 │     352053.96 │      45518 │
│       80.0 │     272069.13 │       3208 │
│       70.0 │     258824.05 │       3371 │
│      120.0 │     215556.75 │       1741 │
│      110.0 │     184198.24 │       1581 │
│       90.0 │     181798.45 │       1912 │
│      100.0 │      181153.9 │       1730 │
│      150.0 │     172335.47 │       1127 │
│      190.0 │      82333.39 │        421 │
│      130.0 │      73009.47 │        537 │
│      180.0 │      68853.26 │        367 │
│      170.0 │      61422.33 │        350 │
│      200.0 │      57773.62 │        288 │
│      160.0 │      34328.45 │        208 │
│      220.0 │       1580.37 │          7 │
│      210.0 │        654.94 │          3 │
└────────────┴───────────────┴────────────┘
  23 rows                       3 columns
