┌───────────┬─────────┬────────────┬────────┬──────────┬────────────────────────────┬─────────────┐
│ order_id  │ user_id │ product_id │ price  │ quantity │         timestamp          │   channel   │
│  varchar  │ varchar │  varchar   │ double │  int64   │         timestamp          │   varchar   │
├───────────┼─────────┼────────────┼────────┼──────────┼────────────────────────────┼─────────────┤
│ ORD026255 │ U01639  │ P087       │   7.11 │        3 │ 2025-12-23 21:07:04.822715 │ Marketplace │
│ ORD023207 │ U04034  │ P023       │  26.24 │        5 │ 2026-01-08 19:07:04.822715 │ App         │
│ ORD022084 │ U01707  │ P067       │   7.18 │        1 │ 2025-10-04 06:07:04.822715 │ Retail      │
│ ORD013963 │ U00997  │ P025       │  48.73 │        3 │ 2025-11-30 21:07:04.822715 │ Gym Kiosk   │
│ ORD028277 │ U02189  │ P133       │  68.78 │        2 │ 2025-10-12 05:07:04.822715 │ Retail      │
│ ORD019763 │ U04527  │ P101       │   9.34 │        6 │ 2026-02-09 20:07:04.822715 │ Marketplace │
│ ORD006695 │ U03088  │ P070       │  10.74 │        2 │ 2026-02-14 00:07:04.822715 │ Retail      │
│ ORD013256 │ U00485  │ P096       │  27.51 │        2 │ 2025-11-02 00:07:04.822715 │ Website     │
│ ORD004700 │ U03907  │ P105       │ 143.33 │        2 │ 2025-10-01 22:07:04.822715 │ App         │
│ ORD034144 │ U04309  │ P073       │  14.66 │        1 │ 2026-02-28 16:07:04.822715 │ App         │
│ ORD012479 │ U02433  │ P047       │  10.03 │        1 │ 2026-02-12 08:07:04.822715 │ Website     │
│ ORD041991 │ U03069  │ P043       │  21.39 │        1 │ 2026-04-14 14:07:04.822715 │ App         │
│ ORD020919 │ U03676  │ P047       │  10.03 │        3 │ 2026-01-06 02:07:04.822715 │ Retail      │
│ ORD006662 │ U03966  │ P124       │   7.73 │        3 │ 2025-09-25 21:07:04.822715 │ Gym Kiosk   │
│ ORD042275 │ U01125  │ P068       │  15.56 │        6 │ 2025-06-15 11:07:04.822715 │ Marketplace │
│ ORD013172 │ U04983  │ P006       │   5.13 │      151 │ 2026-01-25 08:07:04.822715 │ Gym Kiosk   │
│ ORD006584 │ U03913  │ P013       │   19.3 │        1 │ 2025-11-18 18:07:04.822715 │ App         │
│ ORD038464 │ U03639  │ P095       │   9.99 │        1 │ 2025-09-20 03:07:04.822715 │ Retail      │
│ ORD049790 │ U00613  │ P092       │   6.68 │        1 │ 2025-06-12 02:07:04.822715 │ Marketplace │
│ ORD020869 │ U03410  │ P049       │  11.16 │        4 │ 2026-02-14 10:07:04.822715 │ Website     │
│     ·     │   ·     │  ·         │    ·   │        · │             ·              │    ·        │
│     ·     │   ·     │  ·         │    ·   │        · │             ·              │    ·        │
│     ·     │   ·     │  ·         │    ·   │        · │             ·              │    ·        │
│ ORD018888 │ U01798  │ P091       │  23.04 │        2 │ 2025-07-27 23:07:04.822715 │ Gym Kiosk   │
│ ORD044570 │ U03641  │ P135       │  14.38 │        1 │ 2026-01-08 00:07:04.822715 │ Marketplace │
│ ORD031269 │ U00155  │ P090       │  38.48 │        1 │ 2025-06-03 19:07:04.822715 │ Marketplace │
│ ORD038630 │ U01265  │ P016       │  17.01 │        2 │ 2026-04-10 15:07:04.822715 │ App         │
│ ORD039052 │ U00453  │ P144       │   58.0 │        2 │ 2025-09-28 13:07:04.822715 │ App         │
│ ORD032525 │ U00188  │ P033       │  19.53 │        1 │ 2026-02-24 14:07:04.822715 │ Gym Kiosk   │
│ ORD019941 │ U02401  │ P047       │  10.03 │        3 │ 2025-04-28 19:07:04.822715 │ Marketplace │
│ ORD046390 │ U04400  │ P142       │  79.98 │        2 │ 2025-09-27 10:07:04.822715 │ Marketplace │
│ ORD002915 │ U02293  │ P091       │  23.04 │        2 │ 2025-12-18 17:07:04.822715 │ Website     │
│ ORD044797 │ U01543  │ P060       │ 146.18 │        2 │ 2025-06-23 15:07:04.822715 │ Gym Kiosk   │
│ ORD011393 │ U02865  │ P090       │   36.8 │        2 │ 2026-01-10 00:07:04.822715 │ Gym Kiosk   │
│ ORD008603 │ U01937  │ P081       │ 121.61 │        1 │ 2025-05-12 19:07:04.822715 │ Website     │
│ ORD017950 │ U01828  │ P058       │   6.53 │        1 │ 2025-12-03 13:07:04.822715 │ Gym Kiosk   │
│ ORD040461 │ U00605  │ P071       │  15.48 │      263 │ 2026-01-05 20:07:04.822715 │ Marketplace │
│ ORD048404 │ U00078  │ P089       │   6.61 │        2 │ 2025-09-19 09:07:04.822715 │ Website     │
│ ORD016518 │ U04293  │ P101       │  15.15 │        1 │ 2026-03-25 17:07:04.822715 │ Retail      │
│ ORD016815 │ U04823  │ P044       │  43.93 │        3 │ 2025-05-27 22:07:04.822715 │ Website     │
│ ORD018667 │ U03676  │ P068       │  18.58 │        2 │ 2025-12-12 08:07:04.822715 │ Website     │
│ ORD003361 │ U03888  │ P096       │  21.74 │        3 │ 2026-02-01 12:07:04.822715 │ Marketplace │
│ ORD010923 │ U00649  │ P072       │  48.62 │        1 │ 2025-09-12 00:07:04.822715 │ Retail      │
└───────────┴─────────┴────────────┴────────┴──────────┴────────────────────────────┴─────────────┘
  48688 rows (40 shown)                 use .last to show entire result                 7 columns
