┌─────────┬────────────┬────────────┬─────────────┬────────────┬──────────────────┐
│ persona │ price_band │ prev_price │ total_units │ prev_units │ price_elasticity │
│ varchar │   double   │   double   │   int128    │   int128   │      double      │
├─────────┼────────────┼────────────┼─────────────┼────────────┼──────────────────┤
│ budget  │       10.0 │        0.0 │       17529 │       9688 │             NULL │
│ budget  │       20.0 │       10.0 │        5049 │      17529 │            -0.71 │
│ budget  │       30.0 │       20.0 │        4110 │       5049 │            -0.37 │
│ budget  │       40.0 │       30.0 │        2560 │       4110 │            -1.13 │
│ budget  │       50.0 │       40.0 │        2150 │       2560 │            -0.64 │
│ budget  │       60.0 │       50.0 │        1150 │       2150 │            -2.33 │
│ budget  │       70.0 │       60.0 │         737 │       1150 │            -2.15 │
│ budget  │       80.0 │       70.0 │        1054 │        737 │             3.01 │
│ budget  │       90.0 │       80.0 │         651 │       1054 │            -3.06 │
│ budget  │      100.0 │       90.0 │         388 │        651 │            -3.64 │
│ budget  │      110.0 │      100.0 │         256 │        388 │             -3.4 │
│ budget  │      120.0 │      110.0 │         199 │        256 │            -2.45 │
│ budget  │      130.0 │      120.0 │         340 │        199 │              8.5 │
│ budget  │      140.0 │      130.0 │         932 │        340 │            22.64 │
│ budget  │      150.0 │      140.0 │          90 │        932 │           -12.65 │
│ budget  │      160.0 │      150.0 │          44 │         90 │            -7.67 │
│ budget  │      170.0 │      160.0 │          51 │         44 │             2.55 │
│ budget  │      180.0 │      170.0 │          33 │         51 │             -6.0 │
│ budget  │      190.0 │      180.0 │         180 │         33 │            80.18 │
│ budget  │      200.0 │      190.0 │         277 │        180 │            10.24 │
│   ·     │        ·   │        ·   │           · │          · │               ·  │
│   ·     │        ·   │        ·   │           · │          · │               ·  │
│   ·     │        ·   │        ·   │           · │          · │               ·  │
│ premium │      220.0 │      210.0 │           1 │          1 │              0.0 │
│ unknown │       10.0 │        0.0 │        4142 │       2852 │             NULL │
│ unknown │       20.0 │       10.0 │        1864 │       4142 │            -0.55 │
│ unknown │       30.0 │       20.0 │         648 │       1864 │             -1.3 │
│ unknown │       40.0 │       30.0 │         318 │        648 │            -1.53 │
│ unknown │       50.0 │       40.0 │         483 │        318 │             2.08 │
│ unknown │       60.0 │       50.0 │         332 │        483 │            -1.56 │
│ unknown │       70.0 │       60.0 │         190 │        332 │            -2.57 │
│ unknown │       80.0 │       70.0 │          88 │        190 │            -3.76 │
│ unknown │       90.0 │       80.0 │          53 │         88 │            -3.18 │
│ unknown │      100.0 │       90.0 │         288 │         53 │            39.91 │
│ unknown │      110.0 │      100.0 │          79 │        288 │            -7.26 │
│ unknown │      120.0 │      110.0 │          54 │         79 │            -3.48 │
│ unknown │      130.0 │      120.0 │          22 │         54 │            -7.11 │
│ unknown │      140.0 │      130.0 │          73 │         22 │            30.14 │
│ unknown │      150.0 │      140.0 │          16 │         73 │           -10.93 │
│ unknown │      160.0 │      150.0 │          12 │         16 │            -3.75 │
│ unknown │      170.0 │      160.0 │           7 │         12 │            -6.67 │
│ unknown │      180.0 │      170.0 │         231 │          7 │            544.0 │
│ unknown │      190.0 │      180.0 │           8 │        231 │           -17.38 │
└─────────┴────────────┴────────────┴─────────────┴────────────┴──────────────────┘
  104 rows (40 shown)          use .last to show entire result          6 columns
