┌────────────┬────────────┬───────────────┐
│ price_band │ units_sold │ total_revenue │
│   double   │   int128   │    double     │
├────────────┼────────────┼───────────────┤
│        0.0 │      45518 │     352053.96 │
│       10.0 │      69961 │    1001554.07 │
│       20.0 │      25645 │      627276.6 │
│       30.0 │      15845 │     542688.72 │
│       40.0 │      10727 │     484267.82 │
│       50.0 │       7638 │     419697.71 │
│       60.0 │       5597 │     357005.19 │
│       70.0 │       3371 │     258824.05 │
│       80.0 │       3208 │     272069.13 │
│       90.0 │       1912 │     181798.45 │
│      100.0 │       1730 │      181153.9 │
│      110.0 │       1581 │     184198.24 │
│      120.0 │       1741 │     215556.75 │
│      130.0 │        537 │      73009.47 │
│      140.0 │       3398 │     490503.67 │
│      150.0 │       1127 │     172335.47 │
│      160.0 │        208 │      34328.45 │
│      170.0 │        350 │      61422.33 │
│      180.0 │        367 │      68853.26 │
│      190.0 │        421 │      82333.39 │
└────────────┴────────────┴───────────────┘
  20 rows                       3 columns
