┌─────────┬───────────┬───────────────┬────────────┬──────────────────┬─────────────┬───────────┬──────────────┬────────────┬────────────┬─────────────────┐
│ persona │ city_tier │   occasion    │ price_band │ num_transactions │ total_units │ avg_price │ total_reward │ avg_reward │ prev_units │ transition_prob │
│ varchar │  varchar  │    varchar    │   double   │      int64       │   int128    │  double   │    double    │   double   │   int128   │     double      │
├─────────┼───────────┼───────────────┼────────────┼──────────────────┼─────────────┼───────────┼──────────────┼────────────┼────────────┼─────────────────┤
│ budget  │ Tier 3    │ daily snack   │        0.0 │               51 │         287 │      7.87 │      2222.03 │      43.57 │       NULL │             0.0 │
│ budget  │ Tier 3    │ daily snack   │       10.0 │               92 │         308 │     14.17 │      3897.69 │      42.37 │        287 │          0.0732 │
│ budget  │ Tier 3    │ daily snack   │       20.0 │               34 │          67 │      24.2 │       1608.1 │       47.3 │        308 │         -0.7825 │
│ budget  │ Tier 3    │ daily snack   │       30.0 │               29 │          66 │     33.55 │       2229.7 │      76.89 │         67 │         -0.0149 │
│ budget  │ Tier 3    │ daily snack   │       40.0 │               21 │          63 │     45.16 │      2867.67 │     136.56 │         66 │         -0.0455 │
│ budget  │ Tier 3    │ daily snack   │       50.0 │               11 │         205 │     53.09 │     10800.13 │     981.83 │         63 │           2.254 │
│ budget  │ Tier 3    │ daily snack   │       70.0 │                6 │          11 │     73.18 │       820.91 │     136.82 │        205 │         -0.9463 │
│ budget  │ Tier 3    │ road-trip     │        0.0 │               43 │          99 │       8.1 │       786.39 │      18.29 │       NULL │             0.0 │
│ budget  │ Tier 3    │ road-trip     │       10.0 │              105 │         323 │     14.18 │      4158.31 │       39.6 │         99 │          2.2626 │
│ budget  │ Tier 3    │ road-trip     │       20.0 │               26 │          53 │     23.65 │      1240.96 │      47.73 │        323 │         -0.8359 │
│ budget  │ Tier 3    │ road-trip     │       30.0 │               22 │          46 │     34.22 │      1589.37 │      72.24 │         53 │         -0.1321 │
│ budget  │ Tier 3    │ road-trip     │       40.0 │               15 │          39 │     45.37 │      1753.61 │     116.91 │         46 │         -0.1522 │
│ budget  │ Tier 3    │ road-trip     │       50.0 │               10 │          28 │     55.05 │      1554.62 │     155.46 │         39 │         -0.2821 │
│ budget  │ Unknown   │ festive       │        0.0 │               21 │          51 │      7.86 │       394.06 │      18.76 │       NULL │             0.0 │
│ budget  │ Unknown   │ festive       │       10.0 │               55 │         365 │     14.68 │      6389.09 │     116.17 │         51 │          6.1569 │
│ budget  │ Unknown   │ festive       │       20.0 │               15 │          25 │     24.45 │       611.19 │      40.75 │        365 │         -0.9315 │
│ budget  │ Unknown   │ festive       │       30.0 │               13 │          27 │     34.64 │       927.64 │      71.36 │         25 │            0.08 │
│ budget  │ Unknown   │ festive       │       40.0 │               15 │          30 │     43.96 │      1311.76 │      87.45 │         27 │          0.1111 │
│ casual  │ Tier 1    │ marathon-prep │        0.0 │               63 │         384 │      7.97 │      2937.49 │      46.63 │       NULL │             0.0 │
│ casual  │ Tier 1    │ marathon-prep │       10.0 │              117 │        1018 │     14.01 │     14099.96 │     120.51 │        384 │           1.651 │
│   ·     │   ·       │     ·         │         ·  │                · │           · │       ·   │         ·    │        ·   │         ·  │             ·   │
│   ·     │   ·       │     ·         │         ·  │                · │           · │       ·   │         ·    │        ·   │         ·  │             ·   │
│   ·     │   ·       │     ·         │         ·  │                · │           · │       ·   │         ·    │        ·   │         ·  │             ·   │
│ premium │ Tier 1    │ late-night    │       60.0 │               50 │          99 │     64.51 │      6380.02 │      127.6 │        296 │         -0.6655 │
│ premium │ Tier 1    │ late-night    │       70.0 │               37 │          73 │     76.37 │      5581.56 │     150.85 │         99 │         -0.2626 │
│ premium │ Tier 1    │ late-night    │       80.0 │               25 │          50 │     85.06 │      4251.52 │     170.06 │         73 │         -0.3151 │
│ premium │ Tier 1    │ late-night    │       90.0 │                6 │          13 │     96.17 │      1249.17 │      208.2 │         50 │           -0.74 │
│ premium │ Tier 1    │ late-night    │      100.0 │               18 │          35 │    104.23 │      3637.08 │     202.06 │         13 │          1.6923 │
│ premium │ Tier 1    │ late-night    │      110.0 │               22 │          45 │    116.35 │      5250.81 │     238.67 │         35 │          0.2857 │
