┌─────────┬──────────────┬───────────────┬─────────────┐
│ persona │ price_bucket │ total_revenue │ total_units │
│ varchar │   varchar    │    double     │   int128    │
├─────────┼──────────────┼───────────────┼─────────────┤
│ budget  │ 7) $100-$149 │     275752.69 │        2115 │
│ budget  │ 2) $10-$19   │     250634.61 │       17529 │
│ budget  │ 3) $20-$34   │     203185.71 │        7625 │
│ budget  │ 5) $50-$74   │     202678.78 │        3467 │
│ budget  │ 6) $75-$99   │     195075.62 │        2275 │
│ budget  │ 4) $35-$49   │     170478.13 │        4094 │
│ budget  │ 8) $150+     │     127508.67 │         677 │
│ budget  │ 1) $0-$9     │      77350.32 │        9688 │
│ casual  │ 7) $100-$149 │     358889.13 │        2836 │
│ casual  │ 2) $10-$19   │     239079.23 │       16870 │
│ casual  │ 3) $20-$34   │     194554.42 │        7176 │
│ casual  │ 6) $75-$99   │     173937.98 │        2005 │
│ casual  │ 4) $35-$49   │     162988.57 │        3765 │
│ casual  │ 5) $50-$74   │     161332.92 │        2703 │
│ casual  │ 8) $150+     │     113698.49 │         662 │
│ casual  │ 1) $0-$9     │      73204.93 │        9752 │
│ fitness │ 5) $50-$74   │     264844.46 │        4427 │
│ fitness │ 3) $20-$34   │     234343.61 │        8776 │
│ fitness │ 2) $10-$19   │     229724.98 │       15785 │
│ fitness │ 7) $100-$149 │      210933.5 │        1670 │
│ fitness │ 4) $35-$49   │     158530.41 │        3697 │
│ fitness │ 6) $75-$99   │     155883.08 │        1871 │
│ fitness │ 1) $0-$9     │      94728.31 │       12434 │
│ fitness │ 8) $150+     │      79716.68 │         499 │
│ premium │ 3) $20-$34   │     260276.17 │        9828 │
│ premium │ 7) $100-$149 │      239372.9 │        1850 │
│ premium │ 2) $10-$19   │     225050.08 │       15635 │
│ premium │ 4) $35-$49   │      188496.0 │        4426 │
│ premium │ 5) $50-$74   │     163699.69 │        2680 │
│ premium │ 8) $150+     │     107543.79 │         659 │
│ premium │ 6) $75-$99   │      98494.58 │        1152 │
│ premium │ 1) $0-$9     │      84047.56 │       10792 │
│ unknown │ 3) $20-$34   │      60664.63 │        2337 │
│ unknown │ 7) $100-$149 │      59473.81 │         516 │
│ unknown │ 2) $10-$19   │      57065.17 │        4142 │
│ unknown │ 5) $50-$74   │       55873.3 │         940 │
│ unknown │ 8) $150+     │       50814.2 │         274 │
│ unknown │ 1) $0-$9     │      22722.84 │        2852 │
│ unknown │ 4) $35-$49   │      20715.49 │         493 │
│ unknown │ 6) $75-$99   │      17574.12 │         206 │
└─────────┴──────────────┴───────────────┴─────────────┘
  40 rows                                    4 columns
