┌───────────────────┬───────────┬───────────────┐
│      claims       │ avg_price │ total_revenue │
│      varchar      │  double   │    double     │
├───────────────────┼───────────┼───────────────┤
│ keto-friendly     │     38.09 │    1472418.47 │
│ low-sugar         │     37.36 │    1571186.65 │
│ vegan             │     35.64 │    1691238.26 │
│ jain-friendly     │     33.67 │    1509067.23 │
│ clean-label       │     32.83 │    1423610.26 │
│ halal             │      32.0 │    1141528.51 │
│ high-protein      │     31.88 │    1388910.52 │
│ diabetic-friendly │     30.34 │    1376377.15 │
│ gluten-free       │     29.38 │    1474552.64 │
│ nut-free          │     27.89 │     918078.69 │
│ kosher            │     25.32 │    1209626.93 │
│ plant-based       │     21.63 │     637073.28 │
└───────────────────┴───────────┴───────────────┘
  12 rows                             3 columns
