┌─────────┬──────────────┬──────────────────┬───────────┬───────────────┐
│ persona │ price_bucket │ num_transactions │ avg_units │ total_revenue │
│ varchar │   varchar    │      int64       │  double   │    double     │
├─────────┼──────────────┼──────────────────┼───────────┼───────────────┤
│ budget  │ 1) $0-$9     │             2319 │      4.18 │      77350.32 │
│ budget  │ 2) $10-$19   │             4157 │      4.22 │     250634.61 │
│ budget  │ 3) $20-$34   │             1981 │      3.85 │     203185.71 │
│ budget  │ 4) $35-$49   │              997 │      4.11 │     170478.13 │
│ budget  │ 5) $50-$74   │              787 │      4.41 │     202678.78 │
│ budget  │ 6) $75-$99   │              348 │      6.54 │     195075.62 │
│ budget  │ 7) $100-$149 │              532 │      3.98 │     275752.69 │
│ budget  │ 8) $150+     │              146 │      4.64 │     127508.67 │
│ casual  │ 1) $0-$9     │             2309 │      4.22 │      73204.93 │
│ casual  │ 2) $10-$19   │             4269 │      3.95 │     239079.23 │
│ casual  │ 3) $20-$34   │             1945 │      3.69 │     194554.42 │
│ casual  │ 4) $35-$49   │              923 │      4.08 │     162988.57 │
│ casual  │ 5) $50-$74   │              788 │      3.43 │     161332.92 │
│ casual  │ 6) $75-$99   │              350 │      5.73 │     173937.98 │
│ casual  │ 7) $100-$149 │              582 │      4.87 │     358889.13 │
│ casual  │ 8) $150+     │              155 │      4.27 │     113698.49 │
│ fitness │ 1) $0-$9     │             2508 │      4.96 │      94728.31 │
│ fitness │ 2) $10-$19   │             4147 │      3.81 │     229724.98 │
│ fitness │ 3) $20-$34   │             2046 │      4.29 │     234343.61 │
│ fitness │ 4) $35-$49   │             1032 │      3.58 │     158530.41 │
│ fitness │ 5) $50-$74   │              824 │      5.37 │     264844.46 │
│ fitness │ 6) $75-$99   │              362 │      5.17 │     155883.08 │
│ fitness │ 7) $100-$149 │              567 │      2.95 │      210933.5 │
│ fitness │ 8) $150+     │              145 │      3.44 │      79716.68 │
│ premium │ 1) $0-$9     │             2306 │      4.68 │      84047.56 │
│ premium │ 2) $10-$19   │             4222 │       3.7 │     225050.08 │
│ premium │ 3) $20-$34   │             1893 │      5.19 │     260276.17 │
│ premium │ 4) $35-$49   │             1004 │      4.41 │      188496.0 │
│ premium │ 5) $50-$74   │              822 │      3.26 │     163699.69 │
│ premium │ 6) $75-$99   │              320 │       3.6 │      98494.58 │
│ premium │ 7) $100-$149 │              536 │      3.45 │      239372.9 │
│ premium │ 8) $150+     │              152 │      4.34 │     107543.79 │
│ unknown │ 1) $0-$9     │              552 │      5.17 │      22722.84 │
│ unknown │ 2) $10-$19   │             1037 │      3.99 │      57065.17 │
│ unknown │ 3) $20-$34   │              439 │      5.32 │      60664.63 │
│ unknown │ 4) $35-$49   │              222 │      2.22 │      20715.49 │
│ unknown │ 5) $50-$74   │              216 │      4.35 │       55873.3 │
│ unknown │ 6) $75-$99   │               86 │       2.4 │      17574.12 │
│ unknown │ 7) $100-$149 │              134 │      3.85 │      59473.81 │
│ unknown │ 8) $150+     │               31 │      8.84 │       50814.2 │
└─────────┴──────────────┴──────────────────┴───────────┴───────────────┘
  40 rows                                                     5 columns
